Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1018073375,nfl,2016/09/18,50/50 Contest ($10 - Top 50% Win) (Sun-Mon),$60k,141.52,,4,100,Tournament,10,18.00,https://www.fanduel.com/entry/BAAZKZTIQ,
S1018073344,nfl,2016/09/18,50/50 Contest ($10 - Top 50% Win) (Sun-Mon),$60k,141.52,,4,100,Tournament,10,18.00,https://www.fanduel.com/entry/BGZSTSSGQ,
S1018072057,nfl,2016/09/18,NFL WEEK 2,$60k,141.52,,1,20,20 player league,10,180.00,https://www.fanduel.com/entry/ERFUFJSGY,
S1017957542,mlb,2016/09/13,$9K Tue MLB Bunt (Single Entry),$35k,150.90,,1480,10404,Tournament,1,2.50,https://www.fanduel.com/entry/FGFCXKZVP,
S1017956721,nfl,2016/09/15,$60K Thu NFL Squib (Single Entry),$60k,97.72,,48975,69364,Tournament,1,0,https://www.fanduel.com/entry/CJIQRWAGZ,
S1017659127,nfl,2016/09/18,$80K Sun NFL Safety (Single Entry),$60k,123.30,,7418,46242,Tournament,2,4.00,https://www.fanduel.com/entry/FAWBFUALE,
S1017659062,nfl,2016/09/18,$100K Sun NFL Squib (Single Entry),$60k,141.52,,2983,115606,Tournament,1,4.00,https://www.fanduel.com/entry/BMWRKDLTA,
S1017638165,mlb,2016/09/12,50/50 Contest ($10 - Top 50% Win) (Main),$35k,100.20,,84,100,Tournament,10,0,https://www.fanduel.com/entry/BSFSXIVUG,
S1017260356,mlb,2016/09/12,$6K Mon MLB Stolen Base (Single Entry),$35k,100.20,,2101,3186,Tournament,2,0,https://www.fanduel.com/entry/ECUKPEAIY,
S1017260299,mlb,2016/09/12,$8K Mon MLB Bunt (Single Entry),$35k,137,,2201,8398,Tournament,1,0,https://www.fanduel.com/entry/CRXBYZDAE,
S1017260222,mlb,2016/09/12,Summer Free-For-All Qualifier (Free to Play),$35k,137,,3259,14725,Tournament,0,0,https://www.fanduel.com/entry/CKKLDWEBO,
S1017224084,nfl,2016/09/11,NFL Salary Cap 60k Sun Sep 11th (Sun-Mon Night),$60k,93.90,,18,20,20 player league,2,0,https://www.fanduel.com/entry/DSCJLQTCI,
S1016570566,nfl,2016/09/11,$5 left in account.... Why not?,$60k,106.16,,3,5,5 player league,5,0,https://www.fanduel.com/entry/DGWKIVWLE,
S1016540246,nfl,2016/09/11,NFL Salary Cap 60k Sun Sep 11th (1pm Only),$60k,106.16,,13,20,20 player league,2,0,https://www.fanduel.com/entry/DTSBHEHUP,
S1016339757,nfl,2016/09/11,C'MON Man 17 (NFL Week 1),$60k,123.80,,8,20,20 player league,10,0,https://www.fanduel.com/entry/EHPNWIONE,
S1016008850,mlb,2016/09/11,$1K Sun MLB Stolen Base (Single Entry) ,$35k,115.40,,230,578,Tournament,2,0,https://www.fanduel.com/entry/CENMXXPNV,
S1016005178,mlb,2016/09/11,$2K Sun MLB Bunt (Single Entry),$35k,122.20,,754,2312,Tournament,1,0,https://www.fanduel.com/entry/ETJKTGUDN,
S1015428501,mlb,2016/09/10,$4K Sat MLB Stolen Base (Single Entry),$35k,158.20,,237,2310,Tournament,2,5.00,https://www.fanduel.com/entry/BOMJXSVUA,
S1015428497,mlb,2016/09/10,$5K Sat MLB Bunt (Single Entry),$35k,158.20,,502,5780,Tournament,1,2.50,https://www.fanduel.com/entry/DGILWQSAU,
S1015428482,mlb,2016/09/10,Summer Free-For-All Qualifier (Free to Play),$35k,158.20,,1098,13909,Tournament,0,0,https://www.fanduel.com/entry/AXXJUXQIU,
S1015428165,mlb,2016/09/10,$5K Sat MLB Bunt (Single Entry_ Early Only),$35k,63.70,,4977,5780,Tournament,1,0,https://www.fanduel.com/entry/EOOHCBFOU,
S1014967433,mlb,2016/09/09,50/50 Contest ($10 - Top 50% Win) (Main),$35k,76.70,,85,100,Tournament,10,0,https://www.fanduel.com/entry/DXZHENZEH,
S1014862007,mlb,2016/09/09,Bronze FDP Free Play,$35k,104.10,,3896,7859,Tournament,0,0,https://www.fanduel.com/entry/CXTZTSVKN,
S1014861523,mlb,2016/09/09,$6K Fri MLB Stolen Base (Single Entry),$35k,145.60,,382,3468,Tournament,2,5.00,https://www.fanduel.com/entry/EEXZZJGGZ,
S1014861520,mlb,2016/09/09,$7K Fri MLB Bunt (Single Entry) ,$35k,76.70,,6753,8092,Tournament,1,0,https://www.fanduel.com/entry/AKNUICJKN,
S1014861396,mlb,2016/09/09,Summer Free-For-All Qualifier (Free to Play),$35k,145.60,,1629,16787,Tournament,0,0,https://www.fanduel.com/entry/CDZOTEIJL,
S1014374174,mlb,2016/09/08,$8K Thu MLB Stolen Base (Single Entry),$35k,131,,490,4624,Tournament,2,5.00,https://www.fanduel.com/entry/BYCQUZDDK,
S1014373317,mlb,2016/09/08,50/50 Contest ($10 - Top 50% Win) (Main),$35k,55.20,,92,100,Tournament,10,0,https://www.fanduel.com/entry/DVVRDOMJS,
S1014142137,nfl,2016/09/08,$40K Thu NFL Safety (Single Entry),$60k,113,,11897,23121,Tournament,2,0,https://www.fanduel.com/entry/AZNDEEBMT,
S1014142048,nfl,2016/09/08,$50K Thu NFL Squib (Single Entry),$60k,125.70,,16263,57803,Tournament,1,0,https://www.fanduel.com/entry/ERFVJXXVJ,
S1014141544,mlb,2016/09/08,$10K Thu MLB Bunt (Single Entry),$35k,55.20,,10447,11560,Tournament,1,0,https://www.fanduel.com/entry/BKFDRTLQU,
S1014141509,mlb,2016/09/08,Summer Free-For-All Qualifier (Free to Play),$35k,131,,1611,16653,Tournament,0,0,https://www.fanduel.com/entry/BAOWXRFDO,
S1013398400,mlb,2016/09/07,$5K Wed MLB Stolen Base (Single Entry),$35k,90.80,,2088,2890,Tournament,2,0,https://www.fanduel.com/entry/FGFCDBNHR,
S1013398375,mlb,2016/09/07,$9K Wed MLB Bunt (Single Entry),$35k,166.20,,169,9335,Tournament,1,5.00,https://www.fanduel.com/entry/AEQWFWTRN,
S1013398330,mlb,2016/09/07,Summer Free-For-All Qualifier (Free to Play),$35k,90.80,,10889,16575,Tournament,0,0,https://www.fanduel.com/entry/DZBBXLCLF,
S1013397851,mlb,2016/09/07,$6K Wed MLB Bunt (Single Entry_ Early Only),$35k,101.20,,3868,6936,Tournament,1,0,https://www.fanduel.com/entry/AHWHEBGDF,
S1013197865,mlb,2016/09/06,50/50 Contest ($10 - Top 50% Win) (Main),$35k,90.20,,79,100,Tournament,10,0,https://www.fanduel.com/entry/AXXKAUNFI,
S1013100618,nfl,2016/09/11,Football is back!!!,$60k,97.56,,17,20,20 player league,10,0,https://www.fanduel.com/entry/DDDBWDLVZ,
S1012878449,mlb,2016/09/06,$9K Tue MLB Stolen Base (Single Entry),$35k,90.20,,3620,5202,Tournament,2,0,https://www.fanduel.com/entry/CCXUDDUCP,
S1012878416,mlb,2016/09/06,$11K Tue MLB Bunt (Single Entry) ,$35k,106.60,,6225,12716,Tournament,1,0,https://www.fanduel.com/entry/CHSXNEXJF,
S1012878311,mlb,2016/09/06,Summer Free-For-All Qualifier (Free to Play),$35k,106.60,,8827,18506,Tournament,0,0,https://www.fanduel.com/entry/ESHPNTNRF,
S1012827298,mlb,2016/09/05,50/50 Contest ($10 - Top 50% Win) (Main),$35k,95.10,,54,100,Tournament,10,0,https://www.fanduel.com/entry/EFZVAKXII,
S1012512704,mlb,2016/09/05,$4K Mon MLB Stolen Base (Single Entry),$35k,180.90,,91,2310,Tournament,2,8.00,https://www.fanduel.com/entry/DKPSMNJJK,
S1012512694,mlb,2016/09/05,$6K Mon MLB Bunt (Single Entry),$35k,95.10,,4830,6936,Tournament,1,0,https://www.fanduel.com/entry/DJNXNELNS,
S1012512666,mlb,2016/09/05,Summer Free-For-All Qualifier (Free to Play),$35k,180.90,,640,14698,Tournament,0,0,https://www.fanduel.com/entry/DNHFXWQYQ,
S1012512498,mlb,2016/09/05,$7K Mon MLB Bunt (Single Entry_ Early Only) ,$35k,124.50,,3466,8092,Tournament,1,0,https://www.fanduel.com/entry/DUFZGLWYA,
S1012220723,mlb,2016/09/04,$6K Sun MLB Stolen Base (Single Entry),$35k,145.10,,1372,3468,Tournament,2,0,https://www.fanduel.com/entry/ASOIWIOTH,
S1012220719,mlb,2016/09/04,$7K Sun MLB Bunt (Single Entry) ,$35k,99,,6158,8092,Tournament,1,0,https://www.fanduel.com/entry/EWOVHZEAF,
S1012220692,mlb,2016/09/04,Summer Free-For-All Qualifier (Free to Play),$35k,99,,9896,13468,Tournament,0,0,https://www.fanduel.com/entry/BAAZRSZPD,
S1011952958,mlb,2016/09/03,$7K Sat MLB Stolen Base (Single Entry),$35k,97.40,,3075,3752,Tournament,2,0,https://www.fanduel.com/entry/AHIJXZHPP,
S1011952929,mlb,2016/09/03,$10K Sat MLB Bunt (Single Entry),$35k,97.40,,8201,10137,Tournament,1,0,https://www.fanduel.com/entry/DKPSAAZAF,
S1011952896,mlb,2016/09/03,Summer Free-For-All Qualifier (Free to Play),$35k,97.40,,11879,15270,Tournament,0,0,https://www.fanduel.com/entry/EACXDQZOJ,
S1011588411,mlb,2016/09/02,MLB 100 player league (Main),$35k,,,0,,Cancelled,10,0,https://www.fanduel.com/entry/BVZBPFMHY, voided
S1011532674,mlb,2016/09/02,$10K Fri MLB Stolen Base (Single Entry) ,$35k,119,,3805,5780,Tournament,2,0,https://www.fanduel.com/entry/BKFEQZSDZ,
S1011532662,mlb,2016/09/02,$13K Fri MLB Bunt (Single Entry) ,$35k,119,,8896,13976,Tournament,1,0,https://www.fanduel.com/entry/BPAIBAVKP,
S1011532641,mlb,2016/09/02,Summer Free-For-All Qualifier (Free to Play),$35k,200.80,,190,18086,Tournament,0,0,https://www.fanduel.com/entry/BNYNBRXOX,
S1011330443,nfl,2016/09/11,$100K 4-Week NFL Survivor ($10K to 1st) ,$60k,149.58,,814,7756,Tournament,12,0,https://www.fanduel.com/entry/BUXGSEFPY,
S1011330431,nfl,2016/09/11,$100K Sun NFL Spike (Single Entry),$60k,97.56,,18703,23121,Tournament,5,0,https://www.fanduel.com/entry/BXOUDNNFE,
S1011330426,nfl,2016/09/11,$80K Sun NFL Safety (Single Entry),$60k,123.80,,16470,46242,Tournament,2,0,https://www.fanduel.com/entry/ECULHJOIS,
S1011330415,nfl,2016/09/11,50/50 Contest ($10 - Top 50% Win) (Sun-Mon),$60k,149.58,,15,100,Tournament,10,18.00,https://www.fanduel.com/entry/BWMZEEPJM,
S1011280743,mlb,2016/09/01,Summer Free-For-All Qualifier (Free to Play),$35k,73.50,,16128,17649,Tournament,0,0,https://www.fanduel.com/entry/CLMGMCGJB,
S1011057582,mlb,2016/08/31,50/50 Contest ($10 - Top 50% Win) (Main),$35k,130.60,,26,100,Tournament,10,18.00,https://www.fanduel.com/entry/BMITODQBN,
S1011017031,mlb,2016/08/31,$4K Wed MLB Single (Single Entry_ Early Only),$35k,97.90,,637,924,Tournament,5,0,https://www.fanduel.com/entry/BMWSCBNWH,
S1011016961,mlb,2016/08/31,50/50 Contest ($10 - Top 50% Win) (Early Only),$35k,82.90,,87,100,Tournament,10,0,https://www.fanduel.com/entry/CKKLNLZGX,
S1010929168,mlb,2016/08/31,$8K Wed MLB Single (Single Entry),$35k,130.60,,449,1849,Tournament,5,0,https://www.fanduel.com/entry/FAIDMJHUN,
S1010929134,mlb,2016/08/31,$9K Wed MLB Bunt (Single Entry),$35k,130.60,,2558,10404,Tournament,1,0,https://www.fanduel.com/entry/CHEZRMNQV,
S1010929099,mlb,2016/08/31,Summer Free-For-All Qualifier (Free to Play),$35k,130.60,,4261,17891,Tournament,0,0,https://www.fanduel.com/entry/APWVFCKJH,
S1010928410,mlb,2016/08/31,$7K Wed MLB Bunt (Single Entry_ Early Only) ,$35k,82.90,,6821,8092,Tournament,1,0,https://www.fanduel.com/entry/DESTDIDXH,
S1010674497,mlb,2016/08/30,50/50 Contest ($10 - Top 50% Win) (Main),$35k,145.60,,53,100,Tournament,10,0,https://www.fanduel.com/entry/CUASQAFQQ,
S1010596043,mlb,2016/08/30,$10K Tue MLB Stolen Base (Single Entry) ,$35k,145.60,,1001,5780,Tournament,2,4.00,https://www.fanduel.com/entry/AOHCRFOIG,
S1010596036,mlb,2016/08/30,$12K Tue MLB Bunt (Single Entry),$35k,145.60,,2142,13872,Tournament,1,2.50,https://www.fanduel.com/entry/EBSPAAYDY,
S1010596024,mlb,2016/08/30,Summer Free-For-All Qualifier (Free to Play),$35k,145.60,,2565,19371,Tournament,0,0,https://www.fanduel.com/entry/CDLREXVYK,
S1010277504,mlb,2016/08/29,50/50 Contest ($10 - Top 50% Win) (Main),$35k,126.90,,30,100,Tournament,10,18.00,https://www.fanduel.com/entry/AXJNEPWAS,
S1010277285,mlb,2016/08/29,$9K Mon MLB Stolen Base (Single Entry),$35k,126.90,,1490,5202,Tournament,2,0,https://www.fanduel.com/entry/BYCROETXA,
S1010277258,mlb,2016/08/29,$13K Mon MLB Bunt (Single Entry) ,$35k,126.90,,4244,15028,Tournament,1,0,https://www.fanduel.com/entry/FBJZQGLHQ,
S1010277217,mlb,2016/08/29,Summer Free-For-All Qualifier (Free to Play),$35k,126.90,,5373,19816,Tournament,0,0,https://www.fanduel.com/entry/FEBNBPSWW,
S1010215761,mlb,2016/08/28,$2K Sun MLB Squeeze ($2K Guaranteed),$35k,144.50,,156,770,Tournament,3,0,https://www.fanduel.com/entry/AFEUSBXZV,
S1010215568,mlb,2016/08/28,Summer Free-For-All Qualifier (Free to Play),$35k,144.50,,2613,14235,Tournament,0,0,https://www.fanduel.com/entry/EKUZPPEBR,
S1009877218,mlb,2016/08/27,$7K Sat MLB Stolen Base (Single Entry),$35k,148.30,,803,4046,Tournament,2,0,https://www.fanduel.com/entry/BJDIQGPNL,
S1009723511,mlb,2016/08/27,$10K Sat MLB Bunt (Single Entry),$35k,148.30,,2336,11560,Tournament,1,0,https://www.fanduel.com/entry/BSFSOWVST,
S1009723502,mlb,2016/08/27,Summer Free-For-All Qualifier (Free to Play),$35k,148.30,,3202,16584,Tournament,0,0,https://www.fanduel.com/entry/CCXUIIABR,
S1009722229,mlb,2016/08/27,$8K Sat MLB Bunt (Single Entry_ Early Only),$35k,118,,6820,9248,Tournament,1,0,https://www.fanduel.com/entry/DNHFIJYTV,
S1009408959,nfl,2016/09/11,$100K Sun NFL Squib (Single Entry),$60k,149.58,,6939,115606,Tournament,1,3.00,https://www.fanduel.com/entry/AWVOQKMJG,
S1009408922,mlb,2016/08/26,50/50 Contest ($10 - Top 50% Win) (Main),$35k,195.80,,16,100,Tournament,10,18.00,https://www.fanduel.com/entry/BEIFLUXFC,
S1009408917,mlb,2016/08/26,$10K Fri MLB Stolen Base (Single Entry) ,$35k,195.80,,631,5780,Tournament,2,4.00,https://www.fanduel.com/entry/DCPDGXZKQ,
S1009408908,mlb,2016/08/26,$12K Fri MLB Bunt (Single Entry),$35k,195.80,,1498,13872,Tournament,1,2.50,https://www.fanduel.com/entry/ADBDPONKY,
S1009408896,mlb,2016/08/26,Summer Free-For-All Qualifier (Free to Play),$35k,195.80,,1886,19086,Tournament,0,0,https://www.fanduel.com/entry/DGILRQEVO,
S1009256399,mlb,2016/08/25,50/50 Contest ($10 - Top 50% Win) (Main),$35k,149.50,,22,100,Tournament,10,18.00,https://www.fanduel.com/entry/AKNVBPMCG,
