Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1669439509,nba,2019/01/25,$10K Fri NBA Swat (3 Entries Max),$60k,254.10,,7810,11904,Tournament,1,0,https://www.fanduel.com/entry/BLXWXOFYZ,
S1669439424,nba,2019/01/25,$17K Fri NBA Dribbler (Single Entry),$60k,254.10,,12526,20238,Tournament,1,0,https://www.fanduel.com/entry/BBFVEKNNH,
S1668863882,nba,2019/01/24,$17K Thu NBA Block (Single Entry),$60k,292.20,,2543,10119,Tournament,2,0,https://www.fanduel.com/entry/BXDVRLXTU,
S1668863841,nba,2019/01/24,$10K Thu NBA Swat (3 Entries Max),$60k,334.50,,128,11904,Tournament,1,6.75,https://www.fanduel.com/entry/AINEQHJCW,
S1668863836,nba,2019/01/24,$10K Thu NBA Swat (3 Entries Max),$60k,255.60,,8844,11904,Tournament,1,0,https://www.fanduel.com/entry/AFVREYBNQ,
S1668863838,nba,2019/01/24,$10K Thu NBA Swat (3 Entries Max),$60k,257.90,,8498,11904,Tournament,1,0,https://www.fanduel.com/entry/AFHTSGPPU,
S1668863763,nba,2019/01/24,$17K Thu NBA I Am Mafro (Single Entry),$60k,256.60,,13992,20238,Tournament,1,0,https://www.fanduel.com/entry/EDZFHEPSG,
S1668753697,pga,2019/01/24,$750 Pro Weekly FDP Loyalty Free Play (3 of 4),$60k,373.30,,3947,5906,Tournament,0,0,https://www.fanduel.com/entry/ASDLDFEHC,
S1668217132,nba,2019/01/23,$16K Wed NBA Block (Single Entry),$60k,286.90,,7049,9523,Tournament,2,0,https://www.fanduel.com/entry/DYCGTIZGY,
S1668217104,nba,2019/01/23,$10K Wed NBA Swat (3 Entries Max),$60k,330.10,,3349,11904,Tournament,1,0,https://www.fanduel.com/entry/CNEYCSXCI,
