Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link,
S1953662033,cbb,1/10/20,$250 Fri CBB Bank Shot (Single Entry),$50k,161.8,,111,148,Tournament,2,0,https://www.fanduel.com/entry/ACDHLKYZY,
S1953200721,nba,1/10/20,50/50 League ($1 - Top 50% Win) (Main),$60k,355.3,,54,100,Tournament,1,0,https://www.fanduel.com/entry/DABONXMIB,
S1953200700,nba,1/10/20,50/50 League ($1 - Top 50% Win) (Main),$60k,355.3,,50,100,Tournament,1,1.8,https://www.fanduel.com/entry/ESLNZQNLH,
S1953200675,nba,1/10/20,50/50 League ($1 - Top 50% Win) (Main),$60k,355.3,,56,100,Tournament,1,0,https://www.fanduel.com/entry/ALTOCQQPD,
S1953200654,nba,1/10/20,50/50 League ($2 - Top 50% Win) (Main),$60k,355.3,,62,100,Tournament,2,0,https://www.fanduel.com/entry/EHFOTKEFX,
S1953200618,nba,1/10/20,50/50 League ($2 - Top 50% Win) (Main),$60k,355.3,,61,100,Tournament,2,0,https://www.fanduel.com/entry/FFVDEKZJL,
S1953200588,nba,1/10/20,50/50 League ($2 - Top 50% Win) (Main),$60k,355.3,,61,100,Tournament,2,0,https://www.fanduel.com/entry/AQORMZFSZ,
S1953200562,nba,1/10/20,50/50 League ($2 - Top 50% Win) (Main),$60k,355.3,,60,100,Tournament,2,0,https://www.fanduel.com/entry/BHDRPJGIJ,
S1953200534,nba,1/10/20,50/50 League ($2 - Top 50% Win) (Main),$60k,355.3,,63,100,Tournament,2,0,https://www.fanduel.com/entry/EKKZROQRP,
S1953200511,nba,1/10/20,50/50 League ($2 - Top 50% Win) (Main),$60k,355.3,,57,100,Tournament,2,0,https://www.fanduel.com/entry/DSGHCTBMV,
S1953200464,nba,1/10/20,50/50 League ($5 - Top 50% Win) (Main),$60k,355.3,,46,100,Tournament,5,9,https://www.fanduel.com/entry/CSOXSNBMF,
S1953101493,nba,1/10/20,50/50 League ($1 - Top 50% Win) (Main),$60k,355.3,,44,100,Tournament,1,1.8,https://www.fanduel.com/entry/EEOAPZBJF,
S1953101483,nba,1/10/20,50/50 League ($1 - Top 50% Win) (Main),$60k,355.3,,46,100,Tournament,1,1.8,https://www.fanduel.com/entry/ELMTYSAHF,
S1953101472,nba,1/10/20,50/50 League ($1 - Top 50% Win) (Main),$60k,355.3,,39,100,Tournament,1,1.8,https://www.fanduel.com/entry/DYRCHAFCT,
S1953101461,nba,1/10/20,50/50 League ($2 - Top 50% Win) (Main),$60k,355.3,,50,100,Tournament,2,1.2,https://www.fanduel.com/entry/EOEHKBHWL,
S1953101451,nba,1/10/20,50/50 League ($2 - Top 50% Win) (Main),$60k,355.3,,54,100,Tournament,2,0,https://www.fanduel.com/entry/EPTZWBRPZ,
S1953101443,nba,1/10/20,50/50 League ($2 - Top 50% Win) (Main),$60k,355.3,,46,100,Tournament,2,3.6,https://www.fanduel.com/entry/CVUHYIGTF,
S1953101432,nba,1/10/20,50/50 League ($2 - Top 50% Win) (Main),$60k,355.3,,55,100,Tournament,2,0,https://www.fanduel.com/entry/ENQJXJVYP,
S1953101422,nba,1/10/20,50/50 League ($2 - Top 50% Win) (Main),$60k,355.3,,47,100,Tournament,2,3.6,https://www.fanduel.com/entry/CSOXASSBZ,
S1953101415,nba,1/10/20,50/50 League ($2 - Top 50% Win) (Main),$60k,355.3,,50,100,Tournament,2,3.6,https://www.fanduel.com/entry/CQLHCAWKP,
S1952925068,nba,1/10/20,$12K Fri NBA Block (Single Entry),$60k,355.3,,970,7142,Tournament,2,5,https://www.fanduel.com/entry/ALFPRECXI,
S1952925036,nba,1/10/20,$8K Fri NBA Swat (3 Entries Max),$60k,362.9,,926,9523,Tournament,1,2.5,https://www.fanduel.com/entry/DNLCUIBIC,
